ID,Name, Number of holes, Latitude, Longitude
332,Bobby Bland Disc Golf Course,18,37.47,-86.28
333,Boggy Depot Disc Golf Course,18,34.32,-96.32
334,Bogue Chitto State Park,18,30.76,-90.14
335,Bogus Basin Disc Golf at the Pioneer,18,43.77,-116.10
336,Bohannon Disc Golf Course,18,45.45,-123.82
337,Bomber Disc Golf Course,18,43.22,-75.41
338,Bond Lake Park Disc Golf Course,18,43.18,-78.91
339,Bondsteel Woods,18,39.78,-26.25
340,Bonham VA Hospital,18,33.58,-96.16
341,Bonita Springs Recreation Center,18,26.35,-81.79
342,Boom Field,18,43.52,-70.51
343,Boomer Lake Park,18,36.15,-97.07
344,Boondocks Farm Disc Golf Course,18,39.82,-85.54
345,Boone Woods Park,18,39.03,-84.71
346,Booneville City Park Disc Golf Course,18,34.66,-88.57
347,Booneville Disc Golf Course,18,35.15,-93.92
348,The Boonies Disc Golf Course,18,41.00,-86.11
349,Bootleggers Cave,19,40.38,-75.41
350,Borden Park - Eagle's Nest Rotary Disc Golf Course,18,36.54,-82.54
351,Borderland State Park,18,42.06,-71.17
352,Boulder Creek Golf Club,24,35.96,-114.86
353,North Cove - Boulders,18,35.89,-81.94
354,Boundary Waters - Three,18,33.67,-84.66
355,Boundary Waters - Two,18,33.67,-84.66
356,Boundary Waters - One,18,33.67,-84.66
357,Bousquet Ski Area,18,42.42,-73.28
358,Bow Lake Golf Course,18,39.70,-91.03
359,Bowers Park,18,33.18,-87.51
360,Boyd Hill,18,34.94,-81.04
361,Boyd Pond Park Disc Golf Course,18,33.45,-81.79
362,Boyertown Park Disc Golf,18,40.33,-75.63
363,Boylan Acres Arduous,18,39.53,-86.52
364,Boylan Acres Extreme,18,39.53,-86.52
365,Boyne Mountain Ski Resort,18,45.17,-84.93
366,Brackenridge Plantation Disc Golf Course,18,28.95,-96.54
367,Brackett's Bluff,18,35.49,-80.79
368,Bradford Park,18,35.45,-80.79
369,Bradley Center Disc Golf Course,18,35.28,-81.16
370,Bradley Park,18,40.71,-89.62
371,Brady Disc Golf Course,18,31.13,-99.35
372,Braem Park Disc Golf Course,18,44.67,-90.16
373,Brahan Springs Park,18,34.71,-86.60
374,Brakewell Steel/Warwick,18,41.30,-74.39
375,Branchwood Disc Golf Course,18,36.49,-94.34
376,Brandy Lake Disc Golf Course,18,45.90,-89.70
377,Brandywine Creek State Park,18,39.80,-75.58
378,Branson Trails - Blue,18,36.73,-93.27
379,Branstrom Park Disc Golf Course,24,43.48,-85.94
380,Brantwood Disc Golf Course,18,39.57,-75.81
381,BRATS,27,42.24,-83.86
382,Brazos Park East,18,31.58,-97.15
383,The Breakers,18,42.93,-86.16
384,Breckenridge Disc Golf Course at Miller Park,18,32.75,-98.89
385,The Breeze,18,37.51,-77.71
386,Brengle Terrace Park Disc Golf Course,18,33.21,-117.22
387,Brent Baca Memorial,18,35.02,-106.60
388,Brevard College Disc Golf Course,18,35.24,-82.73
389,Brian Harrison Memorial Disc Golf Course,18,32.70,-93.51
390,Brian Head Resort Disc Golf Course,18,37.68,-112.83
391,Brickyard Mile,18,30.39,-89.07
392,Brickyard Plantation Disc Golf Course,18,32.01,-84.11
393,Bridger Baxter Memorial Course,18,42.63,-114.48
394,Cornelius Road Park Disc Golf,18,35.61,-80.84
395,Bridgewater Links Disc Golf Course,18,34.47,-114.35
396,Briscoe Park,18,29.39,-95.24
397,Broadlawn Park,18,34.19,-97.13
398,Brock Park,18,29.84,-95.24
399,Broken Chains Disc Golf Course,18,39.78,-75.88
400,Broken Still,20,35.90,-87.35
401,Bromley's Woods and Meadows Disc Golf,18,43.21,-72.93
402,Brookfield Disc Golf Course,18,39.76,-93.06
403,Brookside Park,24,39.79,-86.11
404,Brooktrails Golf Course,18,39.44,-123.38
405,Brookview - Blue Course,18,44.98,-93.39
406,Brookview - Red Course,18,44.98,-93.39
407,Brown County Country Club,24,39.21,-86.29
408,Brown Deer Park,18,43.16,-87.96
409,Brown-Singleton Park,18,32.40,-96.83
410,Browns and Bows - Sharlotte's Web,18,39.32,-121.36
411,Browns Point/Buzzy's Creek,18,41.15,-74.35
412,Brush Creek Park,18,34.90,-87.99
413,Cat Hollow Disc Golf Course,18,30.51,-97.73
414,Bryan McClain Park,18,29.59,-98.39
415,Bryan Park,18,37.59,-77.48
416,Bryant Lake Park,18,44.88,-93.43
417,Bryant Park,18,44.64,-123.12
418,Brys Park Disc Golf Course,24,42.46,-82.92
419,Buccaneer State Park,18,30.26,-89.41
420,Buck Creek,18,42.96,-84.98
421,Buck Creek State Park,18,39.96,-83.72
422,Buck Forest Disc Golf Course,18,34.07,-81.22
423,Buck Hill,18,44.73,-93.29
424,Buckeye Park,18,40.63,-122.40
425,Buckhorn at Harris Lake County Park,19,35.63,-78.93
426,Buckingham Golf Course,18,39.00,-122.75
427,BuckSnort,28,39.41,-105.32
428,Bud and Carol Billiard Disc Golf Course,18,40.27,-80.54
429,Bud Hill - Original,18,35.23,-90.06
430,Bud Hill - Ridge,18,35.23,-90.06
431,Buddy Butts Disc Golf,18,32.30,-90.31
432,Buffalo Bobs,18,48.35,-114.33
433,Buffalo Mountain Disc Golf,18,36.79,-80.44
434,Buffalo Ridge Park,27,33.66,-112.05
435,Buffalo Run Pro Disc Golf Course,18,34.94,-95.76
436,Buffalo Trace Park,18,38.41,-86.10
437,Buffington Memorial Park Disc Golf,18,42.41,-124.42
438,Buffumville Lake - David Stidham Memorial Disc Golf Course,18,42.12,-71.91
439,Buhl Park Disc Golf Course,18,41.25,-80.48
440,Bull Run Regional Park,18,38.80,-77.48
441,Bulldog Bayou,18,30.39,-88.65
442,Bulloch Disc Golf Course - Main,18,32.48,-81.74
443,Bullsnake Alley Disc Golf Course,18,42.86,-106.31
444,Bummer Creek Disc Golf Course,18,44.36,-123.61
445,The Bunker at Jefferson Barracks,18,38.51,-90.28
446,Burbine Forest Disc Golf Course,18,42.82,-74.38
447,Burchfield Park - Devil's Den,18,42.61,-84.58
448,Burchfield Park - River's Edge,18,42.61,-84.58
449,Burde Ridge,22,35.83,-86.07
450,Burgess Park,18,41.66,-70.41
451,Burke Lake Park - Campside,18,38.76,-77.31
452,Burke Lake Park,18,38.76,-77.31
453,Burnet Woods,18,39.14,-84.52
454,Burns Park - Blue,18,34.80,-92.30
455,Burns Park - Red,18,34.80,-92.30
456,Burnsboro Disc Golf Course,18,44.38,-69.69
457,Burr Oak State Park,18,39.53,-82.04
458,Busch Creek Disc Golf Course,18,38.54,-90.99
459,Butler Farm,20,39.84,-80.23
460,Butter Valley Golf Port,18,40.39,-75.56
461,Buxton Woods,18,45.72,-123.17
462,Cloudcroft Mountain Disc Golf Course,18,32.96,-105.74
463,Cabin Creek,18,39.49,-84.60
464,Cache County Fairgrounds,18,41.72,-111.85
465,Cactus Flats,18,35.27,-114.03
466,Caddoa Disc Golf Course,18,38.07,-102.93
467,Cadyville Disc Golf Course,18,44.70,-73.62
468,Caesars Ford Park - Championship,18,39.66,-83.83
469,Cain Park,18,32.19,-95.85
470,Cal Young Park,18,32.44,-99.71
471,Caldwell Park,18,41.29,-92.61
472,Caliber Disc Golf Course,18,48.41,-116.50
473,California University of PA,18,40.05,-79.92
474,Calumet Lake Disc Golf,27,47.25,-88.44
475,Calvary Hill Park,18,45.54,-94.17
476,Calvert Regional Park,18,39.70,-75.97
477,Calvert Road Park,18,38.98,-76.92
478,Camden Park 1,18,41.42,-90.56
479,Camden Park 2,18,41.42,-90.56
480,Badlands,18,39.86,-105.02
481,Lower Badlands,18,39.85,-105.02
482,Cameron Park Lake Disc Golf Course,18,38.69,-121.00
483,Cameron University,18,34.61,-98.43
484,Camp 1:27,18,32.85,-86.52
485,Camp Allen,21,30.24,-95.96
486,Camp Binachi Disc Golf,18,32.31,-88.53
487,Gray Center - Rose Hill Disc Golf Course,18,32.75,-90.01
488,Camp Brook Disc Golf Course,18,42.04,-73.33
489,Camp Carl Disc Golf Course,18,41.12,-81.10
490,Camp Catalpa Disc Golf Course,18,37.74,-84.25
491,Camp Cullom Youth Camp Disc Golf Course,24,40.32,-86.63
492,Camp Dakota,18,44.95,-122.57
493,Camp Durant,18,35.34,-79.54
494,Camp Hawk,24,38.00,-97.36
495,Camp Hayo-Went-Ha,18,45.05,-85.31
496,Camp Jordan Disc Golf Course,19,35.00,-85.20
497,Camp Kearney,18,40.54,-89.87
498,Camp Kon-O-Kwee,18,40.81,-80.22
499,Camp Loucon,18,37.39,-86.24
500,Camp Luz Disc Golf Course,18,40.80,-81.74
501,Camp Monroe,18,34.89,-79.49
